frame,L_Elbow,R_Elbow,L_Knee,R_Knee,L_Shoulder,R_Shoulder,L_Hip,R_Hip
208,45.82,47.84,140.23,158.38,2.43,49.38,172.56,176.15
209,39.34,45.79,141.37,157.21,3.52,44.67,170.72,178.39
210,36.86,40.68,141.99,165.61,1.91,41.86,169.35,172.87
211,37.02,38.21,143.12,158.25,1.85,37.5,168.47,178.83
212,39.8,39.31,143.83,148.86,10.53,38.55,168.79,173.27
213,50.54,35.45,144.16,155.16,16.93,38.77,166.12,178.93
214,71.24,28.05,142.81,160.23,20.17,39.22,166.91,179.5
215,90.03,17.99,146.56,164.14,20.38,39.39,163.3,178.94
216,101.71,8.77,155.73,167.45,20.71,35.25,158.79,176.03
217,114.23,7.2,162.87,159.11,19.66,32.37,157.48,173.89
218,126.5,6.67,169.0,159.24,20.18,30.36,157.07,172.9
219,135.36,2.4,171.8,149.89,20.4,28.79,157.89,173.53
220,105.67,1.42,173.32,140.67,19.66,27.6,159.65,174.65
221,62.88,1.18,174.16,123.75,19.61,27.09,161.46,175.71
222,38.26,0.53,173.55,125.04,19.23,27.18,163.2,176.35
223,25.93,0.58,172.95,114.59,19.37,27.57,165.47,176.07
224,19.35,2.56,173.08,109.84,19.32,27.71,166.25,177.0
225,26.58,3.42,175.39,109.47,19.53,27.75,165.6,177.3
226,31.07,4.01,176.81,95.47,18.98,27.65,165.75,177.96
227,41.88,4.1,175.23,88.2,18.54,26.98,166.55,178.17
228,95.22,6.2,175.29,109.79,18.41,26.9,165.99,177.88
229,135.16,13.1,170.85,151.34,18.76,29.28,164.9,175.24
230,150.13,20.06,160.7,160.56,19.92,32.84,167.01,178.67
231,124.69,29.09,143.86,176.46,16.64,36.3,174.09,167.28
232,76.69,44.16,141.67,173.1,16.12,40.84,173.77,163.97
233,40.0,62.88,138.24,177.57,13.74,47.92,175.98,166.08
234,32.01,59.09,136.22,177.92,7.14,44.83,175.52,163.06
235,27.06,61.76,135.66,178.1,5.54,45.92,175.19,163.85
236,29.49,54.33,137.83,178.4,7.67,42.16,174.02,163.74
237,25.3,49.83,138.61,177.81,8.09,38.53,173.07,166.32
238,43.42,48.69,139.95,176.86,14.98,37.0,171.12,167.66
239,60.36,47.06,139.78,177.43,20.43,34.19,171.38,169.97
240,88.8,45.88,143.46,174.53,24.02,29.73,169.51,172.32
241,119.45,35.35,149.05,171.94,23.08,31.5,166.37,173.61
242,127.84,26.97,153.36,170.95,20.97,31.29,165.09,175.29
243,108.35,20.8,159.1,156.71,19.41,31.26,164.14,177.3
244,43.13,15.91,161.92,157.04,20.43,32.38,166.48,178.86
245,19.55,12.83,165.07,156.94,17.9,33.71,167.79,179.74
246,13.88,12.67,168.51,156.75,15.93,35.95,168.01,179.29
247,12.68,12.38,171.42,162.34,14.43,36.7,168.58,179.7
248,11.36,14.73,172.02,165.25,11.64,37.16,169.27,178.5
249,13.91,18.06,174.03,165.78,8.55,37.67,169.27,176.81
250,19.19,18.94,175.85,161.41,6.03,36.74,168.35,176.54
251,23.9,16.42,177.83,159.44,4.11,35.13,167.55,175.4
252,26.8,15.13,179.72,158.91,1.78,31.16,167.07,173.93
253,30.46,19.07,178.38,153.66,0.95,29.29,168.36,170.8
254,32.22,26.46,176.82,153.53,0.98,24.6,169.63,169.84
255,34.06,51.48,175.46,151.75,2.04,17.25,171.2,169.88
256,34.43,69.59,173.51,135.93,2.16,13.58,173.8,168.57
257,34.21,73.97,171.8,91.06,2.58,9.25,176.54,161.04
258,33.89,78.0,169.87,68.22,4.41,2.78,179.57,156.19
259,34.14,101.44,172.7,57.2,1.84,5.72,179.06,152.57
260,33.41,120.12,175.07,39.63,2.4,5.46,178.67,154.17
261,31.95,119.84,179.82,29.95,8.91,4.68,179.37,153.24
262,25.75,124.44,177.76,23.27,17.96,6.58,178.74,155.12
263,11.06,11.26,177.2,17.21,30.95,19.09,176.05,156.83
264,0.49,17.71,176.21,3.64,37.3,21.31,174.26,159.17
265,0.77,16.83,175.49,22.77,36.44,20.44,173.05,155.65
266,2.02,17.54,174.15,9.01,33.55,17.64,172.46,153.83
267,4.45,22.06,174.05,8.97,29.87,17.8,173.36,154.27
268,5.86,31.92,175.17,0.41,27.3,18.32,173.79,153.63
269,7.88,77.96,176.64,1.15,26.22,19.47,173.55,153.57
270,13.95,154.48,179.18,6.33,25.12,18.66,175.4,155.9
271,17.11,170.71,178.42,8.4,23.91,15.77,177.55,156.12
272,18.66,175.0,175.6,,23.87,14.04,179.32,155.07
273,23.43,170.83,175.29,,21.9,15.03,179.07,156.84
274,27.22,13.95,175.44,,18.64,15.23,176.91,160.33
275,31.16,12.59,175.39,,15.76,16.23,176.35,166.04
276,32.33,20.88,175.46,87.57,13.0,16.16,174.93,169.99
277,33.55,22.2,177.17,129.78,11.9,16.94,172.23,173.31
278,36.63,21.14,178.23,127.88,10.37,18.63,171.49,174.5
279,36.8,22.34,179.31,147.63,9.44,18.11,170.19,176.76
280,37.27,21.0,179.75,155.88,8.59,18.02,169.26,177.63
281,36.33,24.49,179.77,150.55,8.88,18.18,168.41,177.4
282,35.57,39.59,179.06,159.59,8.95,15.91,167.8,178.36
283,35.74,46.12,179.24,157.69,8.27,14.93,168.63,178.2
284,36.44,70.01,179.03,161.18,8.39,11.43,169.09,179.93
285,37.64,78.87,178.89,93.46,7.84,10.14,169.45,176.53
286,37.05,94.88,178.76,74.58,7.16,5.68,170.79,174.45
287,37.13,103.46,180.0,75.97,6.11,1.98,172.9,165.72
288,34.93,113.25,177.73,55.64,4.12,2.15,177.27,162.39
289,31.9,122.28,179.59,43.22,3.6,2.84,177.29,160.66
290,28.95,129.57,179.27,38.37,5.21,5.36,179.8,157.58
291,21.96,158.31,176.17,35.75,10.39,12.85,178.01,155.58
292,11.22,87.49,171.89,15.36,21.48,20.59,175.5,157.95
293,1.38,19.16,169.94,5.91,28.66,21.79,173.7,164.31
294,1.35,15.38,167.64,11.88,30.12,20.79,173.07,162.77
295,2.61,16.6,167.95,16.35,29.19,16.56,171.91,161.37
296,1.11,19.35,169.73,,26.55,16.3,170.81,157.4
297,2.95,29.59,170.55,,25.89,16.31,171.07,157.7
298,0.42,108.32,170.63,,25.28,17.25,172.6,155.96
299,4.55,153.05,170.71,,25.25,16.86,174.17,152.82
300,16.05,170.69,171.85,,25.26,15.72,176.23,150.94
301,20.62,176.32,172.5,,23.23,15.14,178.16,149.63
302,23.39,178.31,173.15,,20.52,14.16,179.7,149.68
303,26.73,178.19,173.47,,20.28,14.63,177.47,152.81
304,29.43,31.28,175.36,,21.36,15.95,175.49,156.85
305,31.83,6.75,175.99,,20.05,15.56,173.56,163.93
306,34.97,11.85,176.2,,18.12,17.07,172.41,169.5
307,35.26,11.65,176.13,,16.82,17.81,172.02,174.23
308,35.08,10.57,176.6,150.13,15.89,17.96,171.85,176.82
309,34.37,8.98,177.03,159.13,14.61,19.46,171.19,176.73
310,34.65,8.0,177.04,164.65,14.03,20.13,169.92,177.49
311,34.83,9.01,179.78,169.51,13.34,21.17,169.84,178.83
312,36.1,10.77,179.98,169.92,13.48,21.55,169.02,179.01
313,36.88,11.45,179.76,170.16,13.54,21.59,167.96,179.41
314,37.35,14.22,179.0,169.49,13.03,20.09,166.51,179.92
315,38.64,17.72,178.63,170.24,12.8,18.71,165.95,178.99
316,40.02,15.62,178.72,163.31,12.29,16.99,166.21,179.29
317,38.08,12.26,178.76,161.81,11.23,16.13,166.54,178.44
318,37.74,10.92,178.79,159.36,10.79,16.06,167.19,178.25
319,36.86,10.67,178.63,158.54,10.08,16.21,167.86,177.57
320,36.33,10.54,178.06,162.04,8.28,16.25,168.35,176.94
321,35.37,10.89,177.99,155.47,5.79,16.13,169.55,176.04
322,36.18,11.41,178.85,146.83,4.35,14.27,171.55,174.9
323,37.91,22.03,179.49,91.98,2.96,11.2,174.77,172.67
324,35.85,51.61,178.03,75.59,1.34,6.72,176.86,170.09
325,35.78,73.29,178.95,70.71,0.09,3.53,176.23,164.64
326,33.51,85.1,179.05,64.07,2.67,4.45,172.92,164.1
327,25.81,115.96,178.38,58.05,2.13,20.64,170.21,165.0
328,13.37,156.4,178.44,44.83,8.18,43.78,171.28,169.7
329,1.15,136.79,178.39,13.25,15.05,59.69,172.28,177.3
330,5.95,44.84,177.44,3.9,20.27,66.78,171.13,177.32
331,6.44,43.08,176.74,7.35,20.21,56.3,170.86,178.03
332,3.51,45.02,172.51,5.22,19.55,41.17,167.98,176.39
333,13.82,50.95,170.18,9.18,21.39,24.72,166.88,175.04
334,39.43,47.84,168.95,11.43,18.84,22.92,166.19,176.91
335,11.23,42.76,170.21,12.23,15.61,28.32,166.54,178.4
336,2.75,41.3,172.92,9.87,16.19,42.06,167.22,179.75
337,0.99,39.04,173.84,9.66,19.71,53.68,167.34,179.19
338,3.61,40.89,174.79,8.53,21.57,58.72,166.68,179.82
339,7.49,41.6,174.67,9.28,21.21,59.51,166.14,178.76
340,5.69,39.52,174.78,11.3,21.2,57.29,165.71,177.82
341,3.81,33.72,175.92,14.71,21.49,52.71,165.78,175.74
342,6.96,26.58,176.53,31.03,20.38,48.07,166.18,173.62
343,13.48,19.65,178.04,37.52,20.1,44.4,166.87,171.63
344,17.15,14.56,180.0,37.17,18.52,38.54,168.47,170.56
345,18.0,11.79,178.87,36.83,17.35,32.81,169.29,169.73
346,20.03,9.98,177.9,38.72,15.98,28.94,169.6,168.71
347,22.26,8.48,176.78,42.19,14.66,26.33,170.14,168.41
348,22.7,6.68,176.06,59.56,13.52,24.71,170.86,164.94
349,25.24,4.96,176.3,53.05,12.66,23.51,171.13,164.07
350,27.23,3.25,176.16,55.76,11.94,22.89,171.46,164.33
351,27.63,2.79,177.39,64.3,11.7,22.27,170.99,164.71
352,28.86,1.75,177.6,74.23,11.34,21.63,170.92,164.3
353,30.21,0.72,178.04,74.2,11.07,20.9,170.52,164.67
354,29.77,1.31,179.03,79.87,11.19,20.45,169.96,171.1
355,29.59,2.98,179.94,87.73,11.29,20.16,169.01,173.05
356,30.28,6.6,179.33,90.2,11.62,18.53,168.03,176.82
357,32.15,10.62,178.03,127.03,12.01,17.75,166.86,179.74
358,37.75,3.49,177.75,148.29,12.28,18.14,166.19,179.22
359,48.82,98.58,178.21,156.85,13.54,16.11,166.38,177.2
360,66.2,170.89,178.69,166.54,15.08,17.32,166.04,179.45
361,98.81,174.63,177.32,163.12,17.72,17.25,163.99,179.95
362,125.57,172.77,176.43,163.12,19.25,15.05,162.54,178.76
363,138.77,170.64,179.93,161.75,19.59,13.7,164.01,176.35
364,148.62,169.83,179.43,168.23,18.45,13.05,164.76,179.16
365,159.12,168.52,179.77,162.54,17.21,11.4,164.6,176.02
366,170.38,170.37,179.12,162.28,16.29,10.67,163.44,176.19
367,178.79,173.09,178.07,165.06,15.97,10.3,162.38,177.43
368,177.6,176.27,177.51,167.09,16.38,9.99,161.63,178.61
369,172.67,176.18,177.92,169.1,17.16,8.55,161.61,179.09
370,172.73,173.16,177.69,169.79,20.08,6.01,161.08,179.38
371,174.41,169.32,177.29,169.77,23.51,3.08,159.87,179.65
372,177.75,165.87,177.86,169.47,26.59,1.17,159.34,179.65
373,178.81,164.59,178.47,170.01,27.77,1.11,158.84,179.8
374,179.93,163.72,179.54,169.83,27.77,1.16,159.13,179.7
375,178.39,164.58,179.9,170.29,27.4,1.89,159.35,179.25
376,176.94,164.85,179.95,170.57,26.84,2.34,159.45,178.91
377,175.91,163.44,179.9,169.48,25.97,2.72,159.52,179.21
378,177.36,162.66,179.45,169.59,23.35,3.85,159.69,178.85
